Planning Area,Total,Age 0 - 4,Age 5 - 9,Age 10 - 14,Age 15 - 19,Age 20 - 24,Age 25 - 29,Age 30 - 34,Age 35 - 39,Age 40 - 44,Age 45 - 49,Age 50 - 54,Age 55 - 59,Age 60 - 64,Age 65 - 69,Age 70 - 74,Age 75 - 79,Age 80 - 84,Age 85 & Over
Total,"3,902,690","183,580","204,450","214,390","242,900","264,130","271,030","290,620","301,070","316,760","303,410","315,090","295,060","240,490","182,430","102,630","81,210","51,790","41,660"
Ang Mo Kio,"174,770","6,790","7,660","8,290","9,320","10,310","11,170","12,250","13,070","13,710","13,000","14,010","13,800","12,980","11,050","6,670","5,140","3,250","2,300"
Bedok,"289,750","11,690","13,400","14,750","16,930","19,450","19,860","19,270","20,850","22,520","21,460","23,430","23,380","20,590","16,750","9,310","7,330","4,760","4,010"
Bishan,"90,700","3,430","4,330","4,710","5,520","6,860","6,460","5,720","6,000","7,070","6,800","7,540","7,700","6,360","4,860","2,730","2,140","1,370","1,090"
Boon Lay,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok,"139,270","5,510","6,890","7,970","9,240","10,070","10,460","9,760","9,940","10,980","11,310","12,190","11,770","9,370","5,990","3,060","2,230","1,450","1,090"
Bukit Merah,"155,840","7,210","7,480","6,640","6,860","7,700","9,340","11,070","12,840","12,730","11,320","11,320","11,740","10,920","10,030","6,480","5,590","3,540","3,010"
Bukit Panjang,"139,030","7,330","7,630","8,460","9,420","10,400","10,980","10,690","10,010","11,180","10,540","11,620","10,680","7,880","5,190","2,740","2,000","1,290","1,010"
Bukit Timah,"74,470","3,140","4,660","4,810","4,820","4,980","4,310","3,770","4,940","6,630","6,330","5,820","5,330","4,550","3,930","2,380","1,880","1,210","1,000"
Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi,"2,530",180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40
Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Choa Chu Kang,"174,330","7,170","9,340","11,380","14,820","15,230","11,940","11,540","11,960","13,710","15,990","16,190","12,910","8,830","5,650","2,990","2,220","1,430","1,040"
