Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE TAPESTRY,55 Tampines Street 86  #05-25 ,1,86,Strata,1196000,-,13907,1292,31-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528541,East Region,Tampines
PARK COLONIAL,8 Woodleigh Lane  #10-26 ,1,58,Strata,1157000,-,19948,1853,30-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
THE TRE VER,62 Potong Pasir Avenue 1  #09-16 ,1,47,Strata,826000,-,17574,1633,30-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,HDB,13,35,358392,Central Region,Toa Payoh
PARC BOTANNIA,16 Fernvale Street  #20-21 ,1,119,Strata,1672280,-,14053,1306,30-Dec-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797393,North East Region,Sengkang
THE TAPESTRY,51 Tampines Street 86  #13-07 ,1,41,Strata,666630,-,16259,1511,30-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
THE TAPESTRY,51 Tampines Street 86  #15-07 ,1,41,Strata,673110,-,16417,1525,29-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
WATERFRONT GOLD,750 Bedok Reservoir Road  #08-02 ,1,137,Strata,1730000,-,12628,1173,28-Dec-18,Condominium,99 Yrs From 26/11/2009,2014,Resale,Private,16,47,479256,East Region,Bedok
RIVERSAILS,2 Upper Serangoon Crescent  #06-02 ,1,48,Strata,610000,-,12708,1181,28-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,HDB,19,53,534035,North East Region,Hougang
THE LUXURIE,21 Compassvale Road  #01-19 ,1,160,Strata,1330000,-,8313,772,28-Dec-18,Condominium,99 Yrs From 15/06/2011,2015,Resale,HDB,19,54,544754,North East Region,Sengkang
ROCHELLE AT NEWTON,188 Keng Lee Road  #20-02 ,1,162,Strata,2750000,-,16975,1577,28-Dec-18,Condominium,99 Yrs From 10/03/2008,2012,Resale,Private,11,30,308414,Central Region,Novena
