Planning Area,Transacted Price ($),,,,,,,,
Tampines,1196000,,,,,,,,
Toa Payoh,1157000,,,,,,,,
Toa Payoh,826000,,,,,,,,
Sengkang,1672280,,,,,,,,
Tampines,666630,,,,,,,,
Tampines,673110,,,,,,,,
Bedok,1730000,,,,,,,,
Hougang,610000,,,,,,,,
Sengkang,1330000,,,,,,,,
Novena,2750000,,,,,,,,
Clementi,1020000,,,,,,,,
Bukit Timah,1770000,,,,,,,,
Bedok,1060000,,,,,,,,
Pasir Ris,1280000,,,,,,,,
Sengkang,1622810,,,,,,,,
Serangoon,990000,,,,,,,,
Tampines,916920,,,,,,,,
Sengkang,670000,,,,,,,,
Sembawang,1275000,,,,,,,,
Pasir Ris,870000,,,,,,,,
Bukit Merah,1857000,,,,,,,,
Serangoon,1300000,,,,,,,,
Queenstown,2300000,,,,,,,,
Hougang,1380000,,,,,,,,
Clementi,1230000,,,,,,,,
Sengkang,915680,,,,,,,,
Toa Payoh,1888000,,,,,,,,
Yishun,980000,,,,,,,,
Choa Chu Kang,1150000,,,,,,,,
Bukit Merah,1280000,,,,,,,,
River Valley,4978600,,,,,,,,
Toa Payoh,1721000,,,,,,,,
Bishan,1280000,,,,,,,,
Mandai,772000,,,,,,,,
Bukit Timah,1580000,,,,,,,,
Sembawang,1618000,,,,,,,,
Bedok,1150000,,,,,,,,
Bukit Merah,2550000,,,,,,,,
Bishan,1238000,,,,,,,,
Tampines,929880,,,,,,,,
Ang Mo Kio,685000,,,,,,,,
Bukit Batok,838000,,,,,,,,
Sengkang,1234810,,,,,,,,
Pasir Ris,1210000,,,,,,,,
Bukit Merah,2470000,,,,,,,,
Bedok,1308000,,,,,,,,
Hougang,1260000,,,,,,,,
Bukit Batok,1500000,,,,,,,,
Ang Mo Kio,810000,,,,,,,,
Toa Payoh,1688000,,,,,,,,
Bukit Merah,1880000,,,,,,,,
Yishun,1208888,,,,,,,,
Bukit Batok,1030000,,,,,,,,
Bukit Merah,3888000,,,,,,,,
Hougang,1200000,,,,,,,,
Bukit Merah,1450000,,,,,,,,
Clementi,1230000,,,,,,,,
Toa Payoh,2403000,,,,,,,,
Bedok,1020000,,,,,,,,
Tampines,645600,,,,,,,,
Tampines,1330000,,,,,,,,
Yishun,838000,,,,,,,,
Tampines,648800,,,,,,,,
