school_name,Primary School,address,postal_code,dgp_code,mainlevel_code
ADMIRALTY PRIMARY SCHOOL,ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,WOODLANDS,PRIMARY
AHMAD IBRAHIM PRIMARY SCHOOL,AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,YISHUN,PRIMARY
ALEXANDRA PRIMARY SCHOOL,ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,BUKIT MERAH,PRIMARY
ANCHOR GREEN PRIMARY SCHOOL,ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,SENG KANG,PRIMARY
ANDERSON PRIMARY SCHOOL,ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,ANG MO KIO,PRIMARY
ANG MO KIO PRIMARY SCHOOL,ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,ANG MO KIO,PRIMARY
ANGSANA PRIMARY SCHOOL,ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,TAMPINES,PRIMARY
BEACON PRIMARY SCHOOL,BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,BUKIT PANJANG,PRIMARY
BEDOK GREEN PRIMARY SCHOOL,BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,BEDOK,PRIMARY
BENDEMEER PRIMARY SCHOOL,BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,KALLANG,PRIMARY
BLANGAH RISE PRIMARY SCHOOL,BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,BUKIT MERAH,PRIMARY
BOON LAY GARDEN PRIMARY SCHOOL,BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,JURONG WEST,PRIMARY
BUKIT PANJANG PRIMARY SCHOOL,BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,BUKIT PANJANG,PRIMARY
BUKIT TIMAH PRIMARY SCHOOL,BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,BUKIT TIMAH,PRIMARY
BUKIT VIEW PRIMARY SCHOOL,BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,BUKIT BATOK,PRIMARY
CANBERRA PRIMARY SCHOOL,CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,SEMBAWANG,PRIMARY
CANOSSA CATHOLIC PRIMARY SCHOOL,CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,GEYLANG,PRIMARY
CANTONMENT PRIMARY SCHOOL,CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,BUKIT MERAH,PRIMARY
CASUARINA PRIMARY SCHOOL,CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,PASIR RIS,PRIMARY
CEDAR PRIMARY SCHOOL,CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,TOA PAYOH,PRIMARY
CHANGKAT PRIMARY SCHOOL,CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,TAMPINES,PRIMARY
CHONGZHENG PRIMARY SCHOOL,CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,TAMPINES,PRIMARY
CHUA CHU KANG PRIMARY SCHOOL,CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,CHOA CHU KANG,PRIMARY
CLEMENTI PRIMARY SCHOOL,CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,CLEMENTI,PRIMARY
COMPASSVALE PRIMARY SCHOOL,COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,SENG KANG,PRIMARY
CONCORD PRIMARY SCHOOL,CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,CHOA CHU KANG,PRIMARY
CORPORATION PRIMARY SCHOOL,CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,JURONG WEST,PRIMARY
DAMAI PRIMARY SCHOOL,DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,BEDOK,PRIMARY
DAZHONG PRIMARY SCHOOL,DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,BUKIT BATOK,PRIMARY
EAST SPRING PRIMARY SCHOOL,EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,TAMPINES,PRIMARY
EDGEFIELD PRIMARY SCHOOL,EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,PUNGGOL,PRIMARY
ELIAS PARK PRIMARY SCHOOL,ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,PASIR RIS,PRIMARY
ENDEAVOUR PRIMARY SCHOOL,ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,SEMBAWANG,PRIMARY
EUNOS PRIMARY SCHOOL,EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,GEYLANG,PRIMARY
EVERGREEN PRIMARY SCHOOL,EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,WOODLANDS,PRIMARY
FARRER PARK PRIMARY SCHOOL,FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,KALLANG,PRIMARY
FENGSHAN PRIMARY SCHOOL,FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,BEDOK,PRIMARY
FERN GREEN PRIMARY SCHOOL,FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,SENG KANG,PRIMARY
FERNVALE PRIMARY SCHOOL,FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,SENG KANG,PRIMARY
FIRST TOA PAYOH PRIMARY SCHOOL,FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,TOA PAYOH,PRIMARY
FRONTIER PRIMARY SCHOOL,FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,JURONG WEST,PRIMARY
FUCHUN PRIMARY SCHOOL,FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,WOODLANDS,PRIMARY
FUHUA PRIMARY SCHOOL,FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,JURONG EAST,PRIMARY
GAN ENG SENG PRIMARY SCHOOL,GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,BUKIT MERAH,PRIMARY
GONGSHANG PRIMARY SCHOOL,GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,TAMPINES,PRIMARY
GREENDALE PRIMARY SCHOOL,GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,PUNGGOL,PRIMARY
GREENRIDGE PRIMARY SCHOOL,GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,BUKIT PANJANG,PRIMARY
GREENWOOD PRIMARY SCHOOL,GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,WOODLANDS,PRIMARY
GUANGYANG PRIMARY SCHOOL,GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,BISHAN,PRIMARY
HENRY PARK PRIMARY SCHOOL,HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,BUKIT TIMAH,PRIMARY
HOLY INNOCENTS' PRIMARY SCHOOL,HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,HOUGANG,PRIMARY
HORIZON PRIMARY SCHOOL,HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,PUNGGOL,PRIMARY
HOUGANG PRIMARY SCHOOL,HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,HOUGANG,PRIMARY
HUAMIN PRIMARY SCHOOL,HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,YISHUN,PRIMARY
INNOVA PRIMARY SCHOOL,INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,WOODLANDS,PRIMARY
JIEMIN PRIMARY SCHOOL,JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,YISHUN,PRIMARY
JING SHAN PRIMARY SCHOOL,JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,ANG MO KIO,PRIMARY
JUNYUAN PRIMARY SCHOOL,JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,TAMPINES,PRIMARY
JURONG PRIMARY SCHOOL,JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,JURONG EAST,PRIMARY
JURONG WEST PRIMARY SCHOOL,JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,JURONG WEST,PRIMARY
JUYING PRIMARY SCHOOL,JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,JURONG WEST,PRIMARY
