school_name,Primary School,address,postal_code,Planning Area,mainlevel_code
ADMIRALTY PRIMARY SCHOOL,ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,Woodlands,PRIMARY
AHMAD IBRAHIM PRIMARY SCHOOL,AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,Yishun,PRIMARY
ALEXANDRA PRIMARY SCHOOL,ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,Bukit Merah,PRIMARY
ANCHOR GREEN PRIMARY SCHOOL,ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,Sengkang,PRIMARY
ANDERSON PRIMARY SCHOOL,ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,Ang Mo Kio,PRIMARY
ANG MO KIO PRIMARY SCHOOL,ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,Ang Mo Kio,PRIMARY
ANGSANA PRIMARY SCHOOL,ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,Tampines,PRIMARY
BEACON PRIMARY SCHOOL,BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,Bukit Panjang,PRIMARY
BEDOK GREEN PRIMARY SCHOOL,BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,Bedok,PRIMARY
BENDEMEER PRIMARY SCHOOL,BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,Kallang,PRIMARY
BLANGAH RISE PRIMARY SCHOOL,BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,Bukit Merah,PRIMARY
BOON LAY GARDEN PRIMARY SCHOOL,BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,Jurong West,PRIMARY
BUKIT PANJANG PRIMARY SCHOOL,BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,Bukit Panjang,PRIMARY
BUKIT TIMAH PRIMARY SCHOOL,BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,Bukit Timah,PRIMARY
BUKIT VIEW PRIMARY SCHOOL,BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,Bukit Batok,PRIMARY
CANBERRA PRIMARY SCHOOL,CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,Sembawang,PRIMARY
CANOSSA CATHOLIC PRIMARY SCHOOL,CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,Geylang,PRIMARY
CANTONMENT PRIMARY SCHOOL,CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,Bukit Merah,PRIMARY
CASUARINA PRIMARY SCHOOL,CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,Pasir Ris,PRIMARY
CEDAR PRIMARY SCHOOL,CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,Toa Payoh,PRIMARY
CHANGKAT PRIMARY SCHOOL,CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,Tampines,PRIMARY
CHONGZHENG PRIMARY SCHOOL,CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,Tampines,PRIMARY
CHUA CHU KANG PRIMARY SCHOOL,CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang,PRIMARY
CLEMENTI PRIMARY SCHOOL,CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,Clementi,PRIMARY
COMPASSVALE PRIMARY SCHOOL,COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,Sengkang,PRIMARY
CONCORD PRIMARY SCHOOL,CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,Choa Chu Kang,PRIMARY
CORPORATION PRIMARY SCHOOL,CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,Jurong West,PRIMARY
DAMAI PRIMARY SCHOOL,DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,Bedok,PRIMARY
DAZHONG PRIMARY SCHOOL,DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,Bukit Batok,PRIMARY
EAST SPRING PRIMARY SCHOOL,EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,Tampines,PRIMARY
EDGEFIELD PRIMARY SCHOOL,EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,Punggol,PRIMARY
ELIAS PARK PRIMARY SCHOOL,ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,Pasir Ris,PRIMARY
ENDEAVOUR PRIMARY SCHOOL,ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,Sembawang,PRIMARY
EUNOS PRIMARY SCHOOL,EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,Geylang,PRIMARY
EVERGREEN PRIMARY SCHOOL,EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,Woodlands,PRIMARY
FARRER PARK PRIMARY SCHOOL,FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,Kallang,PRIMARY
FENGSHAN PRIMARY SCHOOL,FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,Bedok,PRIMARY
FERN GREEN PRIMARY SCHOOL,FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,Sengkang,PRIMARY
FERNVALE PRIMARY SCHOOL,FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,Sengkang,PRIMARY
FIRST TOA PAYOH PRIMARY SCHOOL,FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,Toa Payoh,PRIMARY
FRONTIER PRIMARY SCHOOL,FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,Jurong West,PRIMARY
FUCHUN PRIMARY SCHOOL,FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,Woodlands,PRIMARY
FUHUA PRIMARY SCHOOL,FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,Jurong East,PRIMARY
GAN ENG SENG PRIMARY SCHOOL,GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,Bukit Merah,PRIMARY
GONGSHANG PRIMARY SCHOOL,GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,Tampines,PRIMARY
GREENDALE PRIMARY SCHOOL,GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,Punggol,PRIMARY
GREENRIDGE PRIMARY SCHOOL,GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,Bukit Panjang,PRIMARY
GREENWOOD PRIMARY SCHOOL,GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,Woodlands,PRIMARY
GUANGYANG PRIMARY SCHOOL,GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,Bishan,PRIMARY
HENRY PARK PRIMARY SCHOOL,HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,Bukit Timah,PRIMARY
HOLY INNOCENTS' PRIMARY SCHOOL,HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,Hougang,PRIMARY
HORIZON PRIMARY SCHOOL,HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,Punggol,PRIMARY
HOUGANG PRIMARY SCHOOL,HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,Hougang,PRIMARY
HUAMIN PRIMARY SCHOOL,HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,Yishun,PRIMARY
INNOVA PRIMARY SCHOOL,INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,Woodlands,PRIMARY
JIEMIN PRIMARY SCHOOL,JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,Yishun,PRIMARY
JING SHAN PRIMARY SCHOOL,JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,Ang Mo Kio,PRIMARY
JUNYUAN PRIMARY SCHOOL,JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,Tampines,PRIMARY
JURONG PRIMARY SCHOOL,JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,Jurong East,PRIMARY
JURONG WEST PRIMARY SCHOOL,JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,Jurong West,PRIMARY
JUYING PRIMARY SCHOOL,JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,Jurong West,PRIMARY
KEMING PRIMARY SCHOOL,KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,PRIMARY
KRANJI PRIMARY SCHOOL,KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,Choa Chu Kang,PRIMARY
